"Country_Region","Confirmed","Deaths"
"US",957,15
"US",239,1
"US",2110,30
"US",1418,30
"US",1388,21
"US",1332,31
"US",1286,38
"US",577,19
"US",1591,43
"US",1343,16
"US",10176,136
"US",4542,59
"US",4360,74
"US",1424,36
"US",490,11
"US",967,11
"US",1463,19
"US",7817,94
"US",1111,25
"US",895,36
"US",5898,154
"US",1101,12
"US",4463,52
"US",1240,11
"US",3661,56
"US",1113,18
"US",2809,94
"US",1334,13
"US",2831,22
"US",6797,129
"US",1885,20
"US",345,4
"US",1587,35
"US",1449,26
"US",2828,24
"US",827,39
"US",1453,11
"US",4235,81
"US",1048,12
"US",655,24
"US",2783,25
"US",4411,95
"US",486,7
"US",508,18
"US",598,20
"US",557,24
"US",1393,29
"US",446,5
"US",1272,25
"US",701,10
"US",2418,62
"US",1275,42
"US",5584,58
"US",554,16
"US",25209,392
"US",1473,42
"US",7751,105
"US",611,11
"US",510,11
"US",9788,158
"US",2096,20
"US",1158,32
"US",2758,20
"US",770,27
"US",2828,0
"US",2523,73
"US",771,8
"US",21805,223
"US",4893,69
"US",367,2
"US",2423,43
"US",54660,579
"US",67,0
"US",2534,24
"US",8607,105
"US",1189,21
"US",1417,7
"US",42091,351
"US",760,2
"US",6193,27
"US",72763,717
"US",1826,9
"US",1789,21
"US",24368,418
"US",607,20
"US",69484,512
"US",16971,108
"US",1888,24
"US",4691,10
"US",790582,10552
"US",11255,66
"US",9916,148
"US",255,4
"US",2429,24
"US",19511,229
"US",318,0
"US",894,3
"US",29256,191
"US",5923,28
"US",2759,15
"US",183865,1875
"US",14649,133
"US",422,1
"US",198266,1990
"US",67649,848
"US",3808,28
"US",209771,1590
"US",168145,1592
"US",24399,187
"US",48484,657
"US",11443,94
"US",25174,194
"US",18343,164
"US",72219,680
"US",9559,84
"US",8892,72
"US",34,0
"US",1077,3
"US",19589,97
"US",19629,189
"US",38555,553
"US",6603,52
"US",3414,9
"US",290,2
"US",38291,454
"US",2923,13
"US",0,0
"US",43837,253
"US",8537,120
"US",3886,19
"US",40304,521
"US",948,24
"US",38334,562
"US",487,0
"US",194,1
"US",1126,12
"US",14729,174
"US",2837,67
"US",1072,21
"US",89,5
"US",282,2
"US",318,3
"US",163,2
"US",1660,12
"US",148,0
"US",1610,25
"US",48023,669
"US",52,0
"US",15783,195
"US",3392,16
"US",41556,567
"US",996,10
"US",4681,20
"US",3916,29
"US",125,1
"US",671,4
"US",714,6
"US",14,0
"US",276,18
"US",33,0
"US",29776,617
"US",75,2
"US",438,9
"US",2245,28
"US",433,0
"US",15232,147
"US",512,6
"US",783,3
"US",3249,55
"US",9239,139
"US",44,1
"US",543,20
"US",1242,16
"US",2134,31
"US",2136,82
"US",1648,39
"US",155,3
"US",0,0
"US",384,5
"US",286,8
"US",1045,4
"US",1007,20
"US",13328,313
"US",269,3
"US",393,7
"US",1058,18
"US",256,4
"US",27,0
"US",394,0
"US",134,2
"US",2143,5
"US",994,9
"US",27,0
"US",347,11
"US",20100,287
"US",552,13
"US",56288,1720
"US",46680,1852
"US",7476,225
"US",6566,237
"US",47375,1529
"US",10618,245
"US",4900,109
"US",665,0
"US",5140,78
"US",9329,200
"US",33433,541
"US",15166,324
"US",136,0
"US",49,0
"US",29252,788
"US",15866,129
"US",2470,36
"US",11907,209
"US",2180,23
"US",21034,523
"US",137610,1847
"US",1233,28
"US",7410,231
"US",6663,266
"US",11261,186
"US",22506,332
"US",6007,117
"US",2898,56
"US",1115,11
"US",61321,725
"US",22349,373
"US",3724,48
"US",900,4
"US",3988,59
"US",1014,23
"US",769,11
"US",1333,27
"US",1277,15
"US",2110,20
"US",3291,49
"US",7336,278
"US",4975,204
"US",77118,1071
"US",1683,25
"US",6875,159
"US",4649,118
"US",994,16
"US",1422,22
"US",15559,295
"US",40635,672
"US",19574,175
